Unnamed: 0,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe
2273,34.0,1,9.0,2,4.0,3.0,4.0,0,1,0,0.0,17979.0,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
73,32.0,1,6.0,3,3.0,4.0,2.0,0,3,0,0.0,21220.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
167,30.0,3,11.0,2,3.0,3.0,3.0,0,4,1,1.0,24419.0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
4725,39.0,3,9.0,3,4.0,4.0,2.0,0,4,1,2.0,26029.0,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False
4219,37.0,1,31.0,3,4.0,4.0,2.0,0,3,1,2.0,24352.0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
2620,34.0,1,9.0,3,4.0,3.0,2.0,0,3,0,2.0,21178.0,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False
3015,27.0,1,7.0,4,6.0,3.0,5.0,0,4,1,3.0,23042.0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
1106,30.0,3,6.0,3,4.0,5.0,2.0,0,4,1,1.0,24714.0,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False
4541,53.0,1,32.0,3,5.0,3.0,5.0,0,5,0,2.0,32504.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
3334,55.0,1,7.0,3,4.0,3.0,2.0,0,5,1,2.0,29180.0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
93,46.0,1,6.0,2,4.0,5.0,3.0,1,2,1,1.0,25673.0,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
4519,39.0,1,19.0,2,5.0,5.0,4.0,0,5,1,1.0,24966.0,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False
112,54.0,2,32.0,1,2.0,3.0,3.0,1,3,1,0.0,32328.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1287,42.0,1,19.0,3,1.0,5.0,6.0,0,4,1,0.0,20538.0,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False
3583,33.0,1,12.0,3,2.0,3.0,5.0,0,5,1,2.0,21990.0,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
1551,35.0,1,6.0,1,4.0,3.0,2.0,0,4,1,0.0,17859.0,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False
1284,39.0,1,16.0,3,3.0,3.0,1.0,0,3,1,0.0,28464.0,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False
3232,29.0,1,17.0,3,4.0,3.0,5.0,0,4,1,2.0,22338.0,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
2887,23.0,1,11.0,3,5.0,3.0,7.0,0,5,1,1.0,22572.0,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False
294,37.0,1,15.0,2,3.0,3.0,2.0,1,2,0,0.0,17326.0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
4606,33.0,1,10.0,4,4.0,5.0,3.0,0,1,1,1.0,25403.0,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
4015,33.0,1,7.0,4,4.0,5.0,3.0,0,1,0,2.0,21634.0,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False
4115,50.0,1,25.0,4,4.0,3.0,3.0,1,1,0,1.0,25482.0,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False
2067,42.0,1,6.0,2,4.0,3.0,1.0,1,3,0,0.0,21062.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
4801,43.0,1,33.0,3,4.0,5.0,5.0,1,3,0,1.0,31869.0,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1383,36.0,1,15.0,3,1.0,4.0,2.0,0,5,1,0.0,17810.0,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
1350,27.0,3,8.0,2,1.0,3.0,1.0,0,1,0,1.0,21500.0,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
4288,29.0,3,16.0,4,4.0,3.0,3.0,0,3,1,2.0,23931.0,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
2690,34.0,1,12.0,4,5.0,3.0,3.0,0,2,0,3.0,21589.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
3576,41.0,3,21.0,3,4.0,5.0,3.0,0,3,0,2.0,23317.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
4866,32.0,3,20.0,4,5.0,5.0,7.0,1,1,1,1.0,20980.0,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False
1947,50.0,2,9.0,3,3.0,4.0,2.0,0,1,1,2.0,33200.0,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False
1940,24.0,3,30.0,2,3.0,3.0,1.0,0,4,1,1.0,17400.0,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False
4511,43.0,1,7.0,3,5.0,3.0,2.0,1,3,0,1.0,24740.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
1148,39.0,1,16.0,3,3.0,5.0,3.0,0,5,1,2.0,20377.0,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False
