Unnamed: 0,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe
3850,55.0,1,17.0,4,4.0,5.0,8.0,1,1,0,1.0,23118.0,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
2463,39.0,1,9.0,3,4.0,3.0,7.0,1,4,0,2.0,22622.0,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False
878,42.0,2,8.0,3,1.0,5.0,1.0,0,2,0,2.0,21272.0,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False
2482,37.0,1,12.0,3,5.0,5.0,2.0,1,2,1,1.0,98678.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
3074,23.0,1,7.0,3,5.0,3.0,8.0,0,2,1,1.0,23453.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
3002,33.0,1,31.0,4,4.0,3.0,3.0,0,4,1,1.0,23987.0,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
1261,38.0,1,24.0,2,5.0,3.0,4.0,1,5,0,1.0,20811.0,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False
3187,60.0,1,9.0,4,5.0,3.0,5.0,1,5,0,3.0,32404.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2230,53.0,3,8.0,2,4.0,4.0,3.0,0,1,1,0.0,22525.0,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
3643,37.0,1,33.0,4,4.0,3.0,8.0,0,3,1,1.0,24025.0,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False
1897,60.0,3,34.0,3,4.0,5.0,5.0,0,1,1,0.0,25266.0,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
4738,43.0,1,36.0,3,6.0,3.0,6.0,0,3,1,2.0,22950.0,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False
1480,35.0,1,22.0,2,1.0,4.0,1.0,0,4,1,1.0,17426.0,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False
4557,43.0,1,10.0,4,2.0,3.0,4.0,1,5,1,1.0,23909.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
994,52.0,1,34.0,2,1.0,3.0,3.0,1,4,0,0.0,28247.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3104,59.0,1,9.0,3,5.0,3.0,2.0,1,2,0,1.0,21058.0,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
9,36.0,1,33.0,3,3.0,3.0,7.0,0,3,1,0.0,20237.0,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
3825,29.0,1,23.0,3,4.0,3.0,3.0,0,3,0,1.0,20822.0,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False
4425,37.0,1,16.0,3,5.0,4.0,4.0,1,4,0,2.0,27525.0,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False
198,38.0,1,8.0,2,3.0,3.0,1.0,0,2,0,1.0,21553.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
1012,31.0,3,6.0,2,5.0,3.0,2.0,0,3,1,1.0,16359.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
3069,46.0,3,16.0,4,4.0,5.0,6.0,1,2,1,1.0,29439.0,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False
